,hddsn,avg_temp_24h,uncorrectable_rd_err,erp_1m_err_cnt,maxpoh_sea,siglatencycriteria_ratio,sigharderrlocality_ratio,sigharderrcount_ratio,sigbursterrthreshold_ratio,sigsofterrrate_ratio,sigharderrrategrouping_ratio
0,3GK248NJ,48.0,6104,260.0,3055.1843611,0.1,660.375,24.7,14.4,15.3451626385,0.6666666667
1,3MGMM04U,36.0,0,31.0,2632.4024444,0.3,3.875,0.4,0.0,9.80957e-05,0.6666666667
2,3GH1VVGK,47.0,2,88.0,,,,,,,
3,3MGXU0SU,52.0,0,97.0,,,,,,,
4,3RGSJ5DC,41.0,469,102.0,,,,,,,
5,3RH0DEHC,51.0,1622,631.0,7323.2266388,15.2,193.5,106.3,2.2,0.00029606669999999996,2.0
6,3WK9Y5KK,56.0,458,1008.0,12119.897083299998,16.9,9.375,0.8,1.4,0.0007725163,1.3333333333
7,3GGY0KLK,48.0,1,203.0,,,,,,,
8,3XG9NSUU,25.0,0,,,,,,,,
9,3XG9NSUU,25.0,0,,,,,,,,
10,5DHJXWGN,38.0,0,,,,,,,,
11,5DHJXWGN,36.0,0,,,,,,,,
12,3XGDLDEU,43.0,0,,,,,,,,
13,3XGDLDEU,43.0,0,,,,,,,,
14,3XGAE1KU,34.0,0,,,,,,,,
15,3XGAE1KU,32.0,0,,,,,,,,
16,3XH081WU,40.0,0,,,,,,,,
17,3XH081WU,37.0,0,,,,,,,,
18,6PG063EU,33.0,0,,,,,,,,
19,6PG063EU,33.0,0,,,,,,,,
20,6PG0S36U,43.0,0,,,,,,,,
21,6PG0S36U,40.0,0,,,,,,,,
22,3GH3B9YK,24.0,0,,,,,,,,
23,3GH3B9YK,24.0,0,,,,,,,,
24,2MJATE7G,24.0,0,,,,,,,,
25,2MJATE7G,24.0,0,,,,,,,,
26,3GHD7JAK,53.0,6,1039.0,7832.2134166,0.3,0.0,0.0,2.6,0.011369988000000001,0.0
27,3WKG34KK,54.0,2583,1304.0,7251.0171944,0.5,339.5,25.1,4.6,0.0116469725,0.6666666667
28,2MGEL8GJ,41.0,0,15.0,3447.8802083000005,1.4,0.0,0.0,0.0,0.0006878152,0.0
29,3FKGGG7V,42.0,3086,828.0,4814.4146943999995,0.3,69.0,4.0,6.6,0.0004309743,0.3333333333
30,3RH21D9C,48.0,0,2.0,,,,,,,
31,5DHL8KVP,44.0,9,394.0,,,,,,,
32,2MHPRBUG,32.0,216,120.0,1.9400833,0.2,63.5,47.6,5.4,0.7689273382999999,0.3333333333
33,2MHPRBUG,32.0,216,120.0,1.9400833,0.2,63.5,47.6,5.4,0.7689273382999999,0.3333333333
34,5DHK9Z4P,37.0,0,,,,,,,,
35,5DHK9Z4P,35.0,0,,,,,,,,
36,2MJ1G8DG,32.0,0,,,,,,,,
37,2MJ1G8DG,32.0,0,,,,,,,,
38,5DJP03YN,23.0,0,,,,,,,,
39,5DJP03YN,24.0,0,,,,,,,,
40,3GH158NK,52.0,7232,629.0,,,,,,,
41,3GH158NK,25.0,7232,629.0,,,,,,,
42,3MG28A2U,24.0,0,,,,,,,,
43,3MG28A2U,24.0,0,,,,,,,,
44,2MJ0YVSH,28.0,0,,,,,,,,
45,2MJ0YVSH,28.0,0,,,,,,,,
46,2MJ2MZDJ,26.0,0,,,,,,,,
47,2MJ2MZDJ,26.0,0,,,,,,,,
48,3GH1U9KK,52.0,0,729.0,3527.0621944,0.8,100.625,4.1,7.6,0.0307911064,0.3333333333
49,3RGP770C,52.0,0,189.0,4611.0723055,1.7,162.75,42.2,3.4,0.0002793966,2.3333333333
50,3RH5XA3C,51.0,45575,66.0,9966.26275,0.4,781.375,8.7,5.0,0.0007961181,0.3333333333
51,2MJ3U17G,25.0,0,,,,,,,,
52,2MJ3U17G,25.0,0,,,,,,,,
53,2MHKG83G,30.0,0,,,,,,,,
54,2MHKG83G,31.0,0,,,,,,,,
55,2MJDHNUG,37.0,0,,,,,,,,
56,2MJDHNUG,34.0,0,,,,,,,,
57,5DJV5DSN,27.0,0,,,,,,,,
58,5DJV5DSN,28.0,0,,,,,,,,
59,3RH1GRGC,27.0,0,,,,,,,,
60,3RH1GRGC,27.0,0,,,,,,,,
61,3RK8H5BC,46.0,476,1308.0,4779.5995416000005,0.2,8.875,2.25,2.8,0.0008821069,0.3333333333
62,3RK8H5BC,25.0,476,1308.0,4779.5995416000005,0.2,8.875,2.25,2.8,0.0008821069,0.3333333333
63,2MHZEVSG,29.0,0,,,,,,,,
64,2MHZEVSG,30.0,0,,,,,,,,
65,5DJUNL4N,28.0,0,,,,,,,,
66,5DJUNL4N,28.0,0,,,,,,,,
67,3RKU23PC,50.0,0,1098.0,4656.0612083000005,0.2,0.0,0.0,2.4,0.0004575802,0.0
68,5DHETSLN,45.0,197,639.0,,,,,,,
69,5DHLKGVP,44.0,2494,160.0,174.31615269999998,0.2,316.625,11.5,34.0,0.6137340275,0.3333333333
70,3RHP6RLC,47.0,0,16.0,8561.9758055,5.1,0.0,0.0,0.0,8.865040000000001e-05,0.0
71,3RHP6RLC,47.0,0,16.0,8561.9758055,5.1,0.0,0.0,0.0,8.865040000000001e-05,0.0
72,2NH9L1BH,27.0,0,,,,,,,,
73,2NH9L1BH,28.0,0,,,,,,,,
74,2NHBGLRE,28.0,0,,,,,,,,
75,2NHBGLRE,29.0,0,,,,,,,,
76,3GH5B2DK,53.0,11,580.0,,,,,,,
77,3MGNKX8U,50.0,24,11.0,3413.0116388000006,0.0,0.0,0.0,0.0,0.0005220833999999999,0.0
78,3RH1W4RC,43.0,1132,1089.0,1295.6422361,20.6,76.125,6.7,5.2,0.0008068089,1.3333333333
79,3RHRYU1C,51.0,2958,618.0,,,,,,,
80,3RJZT2HC,50.0,4354,110.0,709.5134305,0.8,565.625,3.4,20.2,0.004277854,0.3333333333
81,2MHVNEEH,46.0,2580,187.0,115.4435555,0.6,360.75,30.2,5.6,0.025790664799999998,1.0
82,2MK0PMDG,39.0,14135,31.0,186.0192916,1.6,1209.125,21.9,1.8,0.0005586869000000001,0.3333333333
83,3WH6NW3J,56.0,486,76.0,8325.8405416,24.8,42.5,8.3,0.8,0.0001754505,10.0
84,3XH47LUU,26.0,0,,,,,,,,
85,3XH47LUU,26.0,0,,,,,,,,
86,2NHSVJMG,26.0,0,,,,,,,,
87,2NHSVJMG,26.0,0,,,,,,,,
88,3XGUGS7U,26.0,0,,,,,,,,
89,3XGUGS7U,26.0,0,,,,,,,,
90,3RH2DW9C,29.0,0,,,,,,,,
91,3RH2DW9C,29.0,0,,,,,,,,
92,3RK0WW2C,24.0,0,,,,,,,,
93,3RK0WW2C,24.0,0,,,,,,,,
94,2MKUXX8G,30.0,123,736.0,12.788486099999998,0.3,70.375,30.6,12.4,0.0669755654,0.3333333333
95,2MKUXX8G,30.0,123,736.0,12.788486099999998,0.3,70.375,30.6,12.4,0.0669755654,0.3333333333
96,3XGU4RLU,29.0,0,,,,,,,,
97,3XGU4RLU,29.0,0,,,,,,,,
98,5DJUPABN,36.0,0,,,,,,,,
99,5DJUPABN,33.0,0,,,,,,,,
100,2MHG9V0H,40.0,0,,,,,,,,
101,2MHG9V0H,38.0,0,,,,,,,,
102,2MK7RW0G,34.0,0,,,,,,,,
103,2MK7RW0G,32.0,0,,,,,,,,
104,5DJPBYEP,48.0,1,613.0,37.2412222,0.1,273.5,34.4,26.8,66497.0771416084,0.3333333333
105,5DJPBYEP,46.0,1,613.0,37.2412222,0.1,273.5,34.4,26.8,66497.0771416084,0.3333333333
106,2MJG1M9G,44.0,0,,,,,,,,
107,2MJG1M9G,41.0,0,,,,,,,,
108,3GGGYD2K,52.0,13,360.0,3387.5331805,0.2,40.5,0.75,9.4,0.0079366057,0.3333333333
109,3RH4W8LC,44.0,108,171.0,3815.564902699999,1.2,4.5,1.0,0.4,0.0009032933,0.3333333333
110,2MJXZYJJ,27.0,0,,,,,,,,
111,2MJXZYJJ,27.0,0,,,,,,,,
112,2MKBPB1G,27.0,0,,,,,,,,
113,2MKBPB1G,27.0,0,,,,,,,,
114,3RHM7UGC,57.0,0,865.0,,,,,,,
115,3RJALPGC,44.0,0,7.0,1250.2670277,0.4,0.0,0.0,0.0,0.000163831,0.0
116,5DJL5KBN,27.0,0,,,,,,,,
117,5DJL5KBN,27.0,0,,,,,,,,
118,2MGG384H,47.0,10857,155.0,5198.8264305,0.8,106.125,3.0,28.0,0.000368486,0.3333333333
119,3RJE35GC,54.0,0,161.0,,,,,,,
120,3GH9J19J,52.0,0,1858.0,8230.834375,0.7,0.0,0.0,3.8,0.000815839,0.0
121,3GH9J19J,52.0,0,1858.0,8230.834375,0.7,0.0,0.0,3.8,0.000815839,0.0
122,2MHG45KH,40.0,0,,,,,,,,
123,2MHG45KH,37.0,0,,,,,,,,
124,2MKK1J7G,38.0,0,,,,,,,,
125,2MKK1J7G,34.0,0,,,,,,,,
126,3XGBRPTU,36.0,0,,,,,,,,
127,3XGBRPTU,35.0,0,,,,,,,,
128,5DJRJ19P,40.0,0,634.0,30.1786944,4.6,13.5,4.9,1.4,0.0048893327,0.6666666667
129,5DJRJ19P,38.0,0,634.0,30.1786944,4.6,13.5,4.9,1.4,0.0048893327,0.6666666667
130,5DJT7TJN,27.0,0,,,,,,,,
131,5DJT7TJN,27.0,0,,,,,,,,
132,3MG9UY5U,26.0,0,,,,,,,,
133,3MG9UY5U,26.0,0,,,,,,,,
134,3RGSSKGC,28.0,0,,,,,,,,
135,3RGSSKGC,28.0,0,,,,,,,,
136,2MGAZELJ,45.0,0,36.0,709.5603611,0.5,1.125,0.7,0.0,9.8114e-05,1.3333333333
137,2MJVB79G,36.0,0,,,,,,,,
138,2MJVB79G,32.0,0,,,,,,,,
139,2MJZT3SG,29.0,0,,,,,,,,
140,2MJZT3SG,29.0,0,,,,,,,,
141,3RKDUBPC,49.0,3633,51.0,165.74819440000002,1.4,506.875,44.1,11.4,0.0103610877,1.6666666667
142,5DJP5BUP,22.0,0,,,,,,,,
143,5DJP5BUP,23.0,0,,,,,,,,
